Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

B1         CR2032×ù           3051.182mil   4862.205mil    3078.74mil   4744.095mil   3051.182mil   4468.504mil  T         90.00 CR2032         
BUZ1       BUZ5-12-0R5-9MM   2893.701mil   3877.952mil   2893.701mil   3877.953mil   2795.276mil   3877.952mil  T          0.00 SD1209T5-A1    
C1         CE5-6R5X5-1mm     3897.638mil    4803.15mil   3897.638mil    4803.15mil   3799.212mil    4803.15mil  T          0.00 104            
C2         CE5-6R5X5-1mm     6899.606mil    5669.29mil   6899.606mil    5669.29mil    6801.18mil    5669.29mil  T          0.00 0.1uf          
C4         CE5-6R5X5-1mm     7231.575mil       6046mil   7231.575mil       6046mil    7133.15mil       6046mil  T          0.00 0.1uf          
D1         LED2-D5R9X8R7     6968.504mil   6771.654mil   6968.504mil   6771.654mil   6918.504mil   6771.654mil  T          0.00 333-2SYGD/S530-E2
D2         LED2-D5X5         5857.086mil   4547.244mil   5857.087mil   4547.244mil   5807.086mil   4547.244mil  T          0.00 C535A WJN CU0V0231
D3         LED2-D5X5          6486.22mil   4547.244mil    6486.22mil   4547.244mil    6436.22mil   4547.244mil  T          0.00 C535A WJN CU0V0231
D4         LED2-D5X5         7115.354mil   4547.244mil   7115.354mil   4547.244mil   7065.354mil   4547.244mil  T          0.00 C535A WJN CU0V0231
D5         DO-35             5629.922mil   7677.166mil   5629.921mil   7519.685mil   5629.922mil   7519.686mil  T         90.00 1N457          
D6         DO-41                 5413mil   8262.149mil       5413mil   8065.298mil       5413mil   8065.298mil  T         90.00 1N4007-E3/73   
F1         FUSE-24R1X3RX29R7-TH   7007.874mil   7677.165mil   7007.874mil   7677.165mil   7007.874mil   7476.378mil  T         90.00 FUSE           
F2         FUSE-16R5X3RX24R9-TH   6574.804mil   7834.647mil   6574.803mil   7834.646mil   6574.804mil    7633.86mil  T         90.00 R30-600        
IC1        DIP4-300          5590.552mil   5019.686mil   5590.551mil   5019.685mil   5540.552mil   4869.686mil  T         90.00 817            
IC2        DIP4-300          6545.222mil    5039.37mil   6545.222mil    5039.37mil   6495.222mil    4889.37mil  T         90.00 817            
IC3        DIP4-300          6863.446mil    5039.37mil   6863.446mil    5039.37mil   6813.446mil    4889.37mil  T         90.00 817            
IC4        DIP4-300          5866.142mil   8287.402mil   5866.142mil   8287.402mil   6016.142mil   8237.402mil  T        180.00 817            
J0         XH8P-2R54-TH      2244.094mil   8217.716mil   2244.094mil   8217.716mil   2244.094mil   8567.716mil  T        270.00 W7810811120AB  
J1         XH8P-2R54-TH      2244.094mil   7050.766mil   2244.095mil   7050.767mil   2244.094mil   7400.766mil  T        270.00 W7810811120AB  
J2         XH8P-2R54-TH      2253.926mil   5921.674mil   2253.925mil   5921.674mil   2253.926mil   5571.674mil  T         90.00 W7810811120AB  
J3         XH8P-2R54-TH      2253.926mil   4754.724mil   2253.925mil   4754.724mil   2253.926mil   4404.724mil  T         90.00 W7810811120AB  
J5         XH4P-2R54-TH       2263.78mil   3877.952mil    2263.78mil   3877.953mil    2263.78mil   3727.952mil  T         90.00 W7810411120AB  
J6         CON2P-2R54-TH     6968.504mil   6377.952mil   6968.504mil   6377.953mil   6968.504mil   6327.952mil  T         90.00 PAS1251-0201A01B1BA
